open,high,low,close,volume,vwap,timestamp,transactions,date,time,ema_5,ema_10,ema_20,atr,upper_band,lower_band,previous,change,average_60_change,put_setup,call_setup,call_buy,call_sell,put_buy,put_sell
409.96,410.05,409.92,409.92,9209.0,410.0206,2023-02-06 12:44:00+00:00,59,2023-02-06,12:44:00,409.900051189728,409.7976750157761,409.65796800946345,0.0934288746689681,410.03168350813934,409.2842525107875,409.99,-0.0170735871606607,0.005255211903004,True,False,False,False,True,False
409.98,409.98,409.88,409.96,2921.0,409.9292,2023-02-06 12:45:00+00:00,23,2023-02-06,12:45:00,409.92003412648535,409.8271886492713,409.6867329609431,0.0937574309355208,410.0617626846852,409.311703237201,409.92,0.0097580015612713,0.0051323384061153,True,False,False,False,False,True
404.67,404.67,404.61,404.61,2680.0,404.6234,2023-02-10 11:13:00+00:00,10,2023-02-10,11:13:00,404.7464049969521,404.91882227587666,405.1118854659633,0.1084881717131484,405.5458381528159,404.67793277911073,404.65,-0.0098850858766745,-0.0050970772599644,False,True,True,False,False,False
404.54,404.72,404.54,404.72,619.0,404.6351,2023-02-10 11:17:00+00:00,10,2023-02-10,11:17:00,404.637067653719,404.73978232033505,404.93871990482256,0.1099186064114345,405.3783943304683,404.4990454791768,404.53,0.0469680864212925,-0.0045619623317252,False,False,False,True,False,False
408.96,409.21,408.96,409.16,4736.0,409.0871,2023-02-13 12:17:00+00:00,65,2023-02-13,12:17:00,408.9118054446346,408.7916965510684,408.6756239439679,0.0906615587511312,409.0382701789724,408.3129777089634,408.91,0.0611381477586755,0.0053467665680648,True,False,False,False,True,False
409.42,409.46,409.39,409.46,8303.0,409.4271,2023-02-13 12:25:00+00:00,31,2023-02-13,12:25:00,409.392035085174,409.27191285660086,409.0631653512048,0.0994318497396511,409.46089275016334,408.6654379522462,409.37,0.0219850013435217,0.0047305600745776,False,False,False,False,False,True
415.92,416.67,415.1,415.2,314400.0,415.8615,2023-02-14 13:33:00+00:00,1687,2023-02-14,13:33:00,414.5216584052389,414.24013163349025,414.10811625240245,0.5793544120855969,416.4255339007448,411.7906986040601,415.89,-0.1659092548510418,0.0057049357329659,True,False,False,False,True,False
415.14,415.53,414.57,414.87,138143.0,415.0225,2023-02-14 13:34:00+00:00,731,2023-02-14,13:34:00,414.6377722701593,414.3546531546738,414.1806766093165,0.5983866914813161,416.5742233752418,411.78712984339126,415.2,-0.0794797687861233,0.0040580560679226,False,False,False,False,False,True
409.98,410.11,409.33,410.0557,505770.0,409.7386,2023-02-14 15:46:00+00:00,4157,2023-02-14,15:46:00,410.3488993208312,410.77241406706264,411.5725636730917,0.4616843682104574,413.4193011459335,409.72582620024986,409.98,0.0184643153324512,-0.0087900236618097,False,True,True,False,False,False
410.06,410.48,409.975,410.47,392650.0,410.2336,2023-02-14 15:47:00+00:00,2720,2023-02-14,15:47:00,410.3892662138875,410.71742969123306,411.4675576089877,0.4638501497999343,413.32295820818746,409.6121570097879,410.0557,0.101035054506016,-0.0078945009148393,False,True,False,True,False,False
411.7,411.73,410.99,411.06,98558.0,411.3643,2023-02-16 13:31:00+00:00,540,2023-02-16,13:31:00,411.7302700816926,411.9846932432261,412.2290682611013,0.2692147447932813,413.3059272402744,411.1522092819281,411.63,-0.13847387216675,-0.0080441850619126,False,True,True,False,False,False
411.17,411.36,411.04,411.06,32867.0,411.2371,2023-02-16 13:35:00+00:00,222,2023-02-16,13:35:00,411.2919052013221,411.5538851423267,411.894047566883,0.2960996547262807,413.0784461857881,410.7096489479779,411.23,-0.0413393964448157,-0.008406877053763,False,True,False,True,False,False
409.92,409.99,409.71,409.73,65346.0,409.8574,2023-02-16 13:46:00+00:00,426,2023-02-16,13:46:00,410.1567607504069,410.4562831107012,410.912259489242,0.2925154517676972,412.0823212963128,409.7421976821712,409.93,-0.0487888176030026,-0.0140879998083055,False,True,True,False,False,False
409.47,409.74,409.47,409.66,29410.0,409.6111,2023-02-16 13:51:00+00:00,255,2023-02-16,13:51:00,409.6249232263912,409.86818362757,410.3642724283881,0.3081377867520435,411.5968235753963,409.1317212813799,409.49,0.0415150553127099,-0.0138880528573691,False,True,False,True,False,False
400.27,400.34,400.27,400.3,15890.0,400.3283,2023-02-22 12:34:00+00:00,59,2023-02-22,12:34:00,400.2386118181308,400.15500672728774,399.9753948268389,0.0883996864141026,400.32899357249534,399.6217960811825,400.27,0.0074949409148898,0.0065941959344493,True,False,False,False,True,False
400.48,400.48,400.35,400.42,15455.0,400.4372,2023-02-22 12:38:00+00:00,45,2023-02-22,12:38:00,400.4096023344457,400.3194084514537,400.1329296395456,0.0887514720823247,400.4879355278749,399.7779237512163,400.49,-0.0174785887288055,0.00805544764173,True,False,False,False,False,True
398.57,398.575,398.25,398.27,248115.0,398.3864,2023-02-22 15:11:00+00:00,2294,2023-02-22,15:11:00,398.7551615274056,399.02993773854155,399.3206693777373,0.2672890553390966,400.3898255990937,398.25151315638095,398.57,-0.0752690869859777,-0.0063837411928238,False,True,True,False,False,False
398.49,398.54,398.31,398.325,196413.0,398.4323,2023-02-22 15:14:00+00:00,1363,2023-02-22,15:14:00,398.49749230441654,398.742488813972,399.0810170890725,0.2653669538213573,400.1424849043579,398.01954927378705,398.491,-0.0416571516044269,-0.0056947240024375,False,True,False,True,False,False
400.48,400.52,400.48,400.52,1041.0,400.4992,2023-02-23 11:02:00+00:00,19,2023-02-23,11:02:00,400.2778397604112,400.1883100629061,400.1453024976427,0.0877915300485108,400.49646861783674,399.7941363774487,400.25,0.0674578388507137,0.0076825661254811,True,False,False,False,True,False
400.5,400.5,400.5,400.5,266.0,400.5197,2023-02-23 11:09:00+00:00,7,2023-02-23,11:09:00,400.5050053847727,400.398091819051,400.2860234511098,0.0828825624215753,400.6175537007961,399.95449320142353,400.62,-0.0299535719634577,0.0061783623624293,True,False,False,False,False,True
399.28,399.295,398.89,399.0529,421826.0,399.042,2023-02-23 15:49:00+00:00,3547,2023-02-23,15:49:00,399.53662431103874,399.9180009922752,400.2960628235763,0.3179657168087992,401.5679256908115,399.0241999563411,399.285,-0.0581289054184361,-0.0116683818733702,False,True,True,False,False,False
399.12,399.24,399.02,399.06,413813.0,399.126,2023-02-23 15:52:00+00:00,3444,2023-02-23,15:52:00,399.21233312919674,399.5366962609831,399.97916152757904,0.3072371314489451,401.2081100533748,398.75021300178327,399.13,-0.0175381454663876,-0.0114350688148765,False,True,False,True,False,False
396.46,396.74,396.21,396.29,126939.0,396.498,2023-02-24 13:31:00+00:00,677,2023-02-24,13:31:00,396.9825696861991,397.321035825802,397.54442328535214,0.2439487516830036,398.52021829208417,396.5686282786201,396.45,-0.0403581788371719,-0.0080880266238622,False,True,True,False,False,False
396.48,396.85,396.42,396.76,54189.0,396.6919,2023-02-24 13:33:00+00:00,414,2023-02-24,13:33:00,396.80336430497744,397.09837935446245,397.38058232655817,0.2620887483939115,398.4289373201338,396.33222733298254,396.51,0.0630501122291997,-0.0059864032594445,False,True,False,True,False,False
396.3,396.3,395.91,396.08,34585.0,396.1039,2023-02-24 13:36:00+00:00,428,2023-02-24,13:36:00,396.4209968311045,396.73203497325545,397.1009863057837,0.2846158406542268,398.23944966840054,395.96252294316673,396.37,-0.0731639629639025,-0.0085514361626545,False,True,True,False,False,False
395.55,395.6,395.33,395.53,35234.0,395.5075,2023-02-24 13:42:00+00:00,303,2023-02-24,13:42:00,395.59947022934256,395.8947578876605,396.400179729529,0.2847196973458414,397.5390585189122,395.2613009401456,395.5,0.0075853350189564,-0.0115779376037701,False,True,False,True,False,False
399.74,399.78,399.69,399.77,29465.0,399.7614,2023-02-27 13:42:00+00:00,146,2023-02-27,13:42:00,399.5824628796614,399.4025523011896,399.1467549502581,0.1487543697565149,399.7417724292842,398.55173747123206,399.69,0.0200155120218129,0.0056682244852568,True,False,False,False,True,False
399.74,399.82,399.72,399.77,9433.0,399.7323,2023-02-27 13:47:00+00:00,79,2023-02-27,13:47:00,399.72324614053167,399.6158467245341,399.37900605435055,0.1363632581874137,399.9244590871002,398.8335530216009,399.73,0.0100067545593184,0.0056264094315609,True,False,False,False,False,True
400.08,400.27,400.08,400.1,15551.0,400.1578,2023-02-27 13:53:00+00:00,171,2023-02-27,13:53:00,399.96533299450493,399.8501488569307,399.6279040005931,0.1488527887102752,400.22331515543425,399.0324928457521,400.09,0.0024994376265459,0.007462542950563,True,False,False,False,True,False
400.04,400.04,399.9,399.98,37510.0,399.9332,2023-02-27 13:55:00+00:00,215,2023-02-27,13:55:00,399.9845924420022,399.9005128711685,399.69608468075774,0.1465646418110262,400.28234324800184,399.1098261135136,400.03,-0.0124990625702958,0.0080088534215834,True,False,False,False,False,True
401.01,401.29,401.01,401.11,444497.0,401.1678,2023-02-27 15:09:00+00:00,3591,2023-02-27,15:09:00,400.85642132958816,400.6358639846373,400.3328342802381,0.2323920194515449,401.26240235804426,399.4032662024319,401.02,0.0224427709341259,0.0056667054344964,True,False,False,False,True,False
400.891,400.96,400.79,400.91,270956.0,400.8961,2023-02-27 15:11:00+00:00,2268,2023-02-27,15:11:00,400.8817428131503,400.7235122541787,400.4358121885849,0.2301087975550172,401.356247378805,399.5153769983648,400.89,0.0049888996981812,0.0052067775803343,True,False,False,False,False,True
397.11,397.19,396.98,397.09,288841.0,397.0954,2023-02-28 14:31:00+00:00,2904,2023-02-28,14:31:00,397.2551153415171,397.4065341590692,397.59733136164687,0.1257304402229059,398.1002531225385,397.0944096007552,397.1201,-0.0075795710164266,-0.0058631606807409,False,True,True,False,False,False
396.88,397.0,396.73,396.995,313701.0,396.8628,2023-02-28 14:36:00+00:00,2632,2023-02-28,14:36:00,396.92913041534393,397.0609773646786,397.30435824609685,0.1585440804079688,397.9385345677287,396.670181924465,396.89,0.026455693013182,-0.0047969657339764,False,False,False,True,False,False
396.33,396.37,396.18,396.26,18115.0,396.304,2023-03-01 13:32:00+00:00,105,2023-03-01,13:32:00,396.3943293991499,396.5288655162093,396.7150064313153,0.1179671291748478,397.1868749480147,396.24313791461594,396.33,-0.0176620493023473,-0.0054559557129269,False,True,True,False,False,False
395.98,396.12,395.97,396.06,12232.0,396.0716,2023-03-01 13:37:00+00:00,105,2023-03-01,13:37:00,396.06402691676055,396.2014489811713,396.4383690044819,0.1313432720570987,396.96374209271033,395.9129959162536,395.98,0.0202030405575999,-0.006548603623968,False,True,False,True,False,False
395.69,395.69,395.5,395.5,57919.0,395.5518,2023-03-01 13:44:00+00:00,244,2023-03-01,13:44:00,395.70689942631253,395.8563114955897,396.1048638458823,0.1506062055309575,396.7072886680062,395.5024390237584,395.69,-0.0480173873486814,-0.008357317800664,False,True,True,False,False,False
395.7,395.77,395.68,395.75,19610.0,395.7258,2023-03-01 13:47:00+00:00,171,2023-03-01,13:47:00,395.6801924226112,395.7657633961568,395.9868093206896,0.1549134954671037,396.6064633025581,395.3671553388213,395.62,0.0328598149739637,-0.007182432125802,False,True,False,True,False,False
393.59,393.78,393.58,393.75,7075.0,393.6877,2023-03-02 12:00:00+00:00,59,2023-03-02,12:00:00,393.5751663662371,393.5099841273477,393.460856151409,0.0780483214149349,393.7730494370688,393.14866286574926,393.59,0.0406514393150296,0.0051751725460014,True,False,False,False,True,False
393.79,393.8,393.79,393.8,2199.0,393.7952,2023-03-02 12:07:00+00:00,23,2023-03-02,12:07:00,393.82446332641905,393.759654072497,393.651400740453,0.0802420229212474,393.9723688321381,393.330432648768,393.88,-0.0203107545445272,0.0039437108657327,False,False,False,False,False,True
402.94,402.98,402.05,402.5117,1145262.0,402.3557,2023-03-07 15:01:00+00:00,9314,2023-03-07,15:01:00,403.4337742770757,403.8307637638791,404.08941637184125,0.2746879441828461,405.18816814857263,402.9906645951099,402.93,-0.1038145583600099,-0.0088578892600499,False,True,True,False,False,False
401.19,401.46,401.08,401.38,612013.0,401.2752,2023-03-07 15:12:00+00:00,5127,2023-03-07,15:12:00,401.25126721716686,401.56621903254194,402.2642613379386,0.3465793413824161,403.6505787034683,400.8779439724089,401.19,0.0473591066576928,-0.0129697098300028,False,True,False,True,False,False
397.94,397.94,397.84,397.84,2730.0,397.8854,2023-03-08 12:38:00+00:00,38,2023-03-08,12:38:00,398.0475520597861,398.1615227402752,398.3162564197653,0.0978592473995522,398.7076934093635,397.9248194301671,397.97,-0.0326657788275629,-0.005850539406573,False,True,True,False,False,False
397.91,397.92,397.88,397.92,1038.0,397.9138,2023-03-08 12:42:00+00:00,14,2023-03-08,12:42:00,397.9081584315627,397.99848034280063,398.16665511222294,0.1082214686272369,398.5995409867319,397.733769237714,397.9,0.0050263885398438,-0.0053062176013727,False,True,False,True,False,False
397.67,397.68,396.83,397.17,574735.0,397.1777,2023-03-08 15:01:00+00:00,5361,2023-03-08,15:01:00,397.9712949884917,398.2064420812553,398.30048952148786,0.3320326318019448,399.62862004869567,396.97235899428006,397.68,-0.1282438141219047,-0.005349758678751,False,True,True,False,False,False
397.17,398.05,397.0,397.96,379878.0,397.4523,2023-03-08 15:02:00+00:00,3333,2023-03-08,15:02:00,397.9675299923278,398.161634430118,398.2680619480128,0.3679310002118482,399.73978594886023,396.7963379471654,397.17,0.198907268927654,-0.0020764662830416,False,False,False,True,False,False
398.83,399.28,398.82,399.17,44252.0,399.1486,2023-03-09 13:33:00+00:00,324,2023-03-09,13:33:00,398.68286879690027,398.3677525492646,398.11148669936017,0.1847015407655366,398.8502928624223,397.3726805362981,398.86,0.0777215062929354,0.0057346176803589,True,False,False,False,True,False
399.0,399.01,398.78,398.79,56783.0,398.8605,2023-03-09 13:35:00+00:00,262,2023-03-09,13:35:00,398.7868305764002,398.5370905495077,398.25180657249217,0.1967181405408971,399.03867913465575,397.4649340103286,398.99,-0.0501265695882073,0.0048180269226207,False,False,False,False,False,True
399.41,399.57,399.33,399.34,32006.0,399.4137,2023-03-09 13:42:00+00:00,179,2023-03-09,13:42:00,399.226307413708,399.0305626151937,398.706341617275,0.2054190108188599,399.5280176605504,397.88466557399954,399.38,-0.0100155240623016,0.0064874013570199,True,False,False,False,True,False
399.28,399.28,399.01,399.01,29431.0,399.1277,2023-03-09 13:44:00+00:00,170,2023-03-09,13:44:00,399.1839144060925,399.0758311721544,398.7915857683362,0.2062156572640219,399.6164483973923,397.9667231392801,399.36,-0.08764022435898,0.0055710185152242,True,False,False,False,False,True
400.22,400.29,400.1,400.15,46334.0,400.1899,2023-03-09 14:01:00+00:00,289,2023-03-09,14:01:00,399.8427969084958,399.60897207178897,399.35185104518337,0.1919188381803435,400.11952639790474,398.584175692462,400.2,-0.0124937531234411,0.0093644019690452,True,False,False,False,True,False
400.1,400.18,399.99,400.08,12516.0,400.0705,2023-03-09 14:06:00+00:00,89,2023-03-09,14:06:00,400.0583107039995,399.911951443127,399.6404500577062,0.1791061535310965,400.35687467183055,398.9240254435818,400.12,-0.0099970008997351,0.0095756147294987,True,False,False,False,False,True
392.21,393.8,392.05,393.1,455495.0,393.0545,2023-03-10 13:31:00+00:00,1880,2023-03-10,13:31:00,391.85171279615247,391.3365163635968,391.0114227275819,0.5847120789680307,393.350271043454,388.6725744117098,392.22,0.2243638774157349,0.0079255279402969,True,False,False,False,True,False
393.11,393.47,391.8,392.22,295934.0,392.5602,2023-03-10 13:32:00+00:00,1772,2023-03-10,13:32:00,391.974475197435,391.49714975203375,391.126525324955,0.63897647501963,393.6824312250335,388.5706194248765,393.1,-0.2238616128211639,0.0045778974406825,False,False,False,False,False,True
