open,high,low,close,volume,vwap,timestamp,transactions,date,time,ema_5,ema_10,ema_20,atr,upper_band,lower_band,previous,change,average_20_change,put_setup,call_setup,call_buy,call_sell,put_buy,put_sell,call_prices,put_prices
380.76,381.02,379.56,380.37,315637.0,380.7235,2023-01-06 14:43:00+00:00,2476,2023-01-06,14:43:00,381.0160154760102,381.5339695357959,382.0015627231479,0.542057958030554,384.1697945552702,379.8333308910257,380.76,-0.102426725496372,-0.0260317767075591,False,True,True,False,False,False,9.9,0.0
380.8599,380.98,380.69,380.75,222398.0,380.8483,2023-01-06 14:53:00+00:00,2101,2023-01-06,14:53:00,380.55861978776,380.5591762028726,380.9418713106229,0.503903838069752,382.95748666290183,378.92625595834386,380.845,-0.0249445312397503,-0.0337132354158404,False,True,False,True,False,False,10.0,0.0
390.23,390.53,390.23,390.53,30545.0,390.3844,2023-01-09 14:23:00+00:00,245,2023-01-09,14:23:00,390.2511867457721,390.1268963474084,390.0247371328568,0.1122644160138014,390.473794796912,389.5756794688016,390.22,0.079442365844894,0.0078185981536911,True,False,False,False,True,False,0.0,5.05
390.37,390.45,389.84,390.3,776702.0,390.1886,2023-01-09 14:30:00+00:00,4518,2023-01-09,14:30:00,390.3644224524275,390.3191335733578,390.20623561647807,0.1400996864844357,390.7666343624158,389.64583687054034,390.37,-0.0179317058175559,0.0044888621337205,False,False,False,False,False,True,0.0,5.29
387.09,387.09,386.9,386.96,5671.0,386.963,2023-01-10 11:14:00+00:00,33,2023-01-10,11:14:00,387.1845294815282,387.3235054262744,387.4774910850514,0.0982522548195196,387.87050010432944,387.0844820657734,387.21,-0.0645644482322254,-0.0095494236386007,False,True,True,False,False,False,5.99,0.0
386.86,386.86,386.86,386.86,199.0,386.8595,2023-01-10 11:52:00+00:00,3,2023-01-10,11:52:00,386.7698296502558,386.759544803949,386.8268801103208,0.0748872309235198,387.1264290340149,386.5273311866267,386.73,0.0336151837199067,-0.0029687243026411,False,False,False,True,False,False,5.6905,0.0
386.41,386.45,385.85,385.99,16165.0,386.133,2023-01-10 12:17:00+00:00,190,2023-01-10,12:17:00,386.3313855903234,386.4247119069197,386.5253932654414,0.1165553760944555,386.9916147698192,386.0591717610636,386.47,-0.1242011022847874,-0.009570148044712,False,True,True,False,False,False,6.47,0.0
386.25,386.35,386.25,386.35,36243.0,386.3067,2023-01-10 12:26:00+00:00,100,2023-01-10,12:26:00,386.17884770727267,386.166679877693,386.26476640566665,0.1358377721987351,386.8081174944616,385.7214153168717,386.22,0.0336595722645112,-0.0041322940512093,False,False,False,True,False,False,6.1465,0.0
386.6,387.44,386.6,387.16,137834.0,387.1322,2023-01-10 14:00:00+00:00,940,2023-01-10,14:00:00,386.74676610228585,386.5664536931758,386.3860427980144,0.1618868258336249,387.03359010134886,385.7384954946799,386.6,0.144852560786343,0.0163055266724395,True,False,False,False,True,False,0.0,3.97
387.12,387.23,386.3,386.3,96824.0,386.8481,2023-01-10 14:01:00+00:00,555,2023-01-10,14:01:00,386.59784406819057,386.51800756714374,386.3778482458225,0.200292484541944,387.1790181839903,385.57667830765473,387.16,-0.222130385370393,0.0048103056677183,False,False,False,False,False,True,0.0,3.7715
387.54,387.72,387.35,387.4,67933.0,387.5272,2023-01-10 14:05:00+00:00,359,2023-01-10,14:05:00,387.1655000628525,386.9307825727771,386.6637949272363,0.2504266054874435,387.6655013491861,385.66208850528653,387.5,-0.025806451612909,0.0168367603109286,True,False,False,False,True,False,0.0,4.04
387.4,387.42,387.21,387.21,24756.0,387.3254,2023-01-10 14:22:00+00:00,168,2023-01-10,14:22:00,387.3985453327502,387.4282147258259,387.3152324878586,0.2245856618311779,388.21357513518336,386.4168898405339,387.4,-0.0490449148167263,0.0032402924454574,False,False,False,False,False,True,0.0,3.99
388.46,389.135,388.45,388.98,426888.0,388.8743,2023-01-10 14:34:00+00:00,3765,2023-01-10,14:34:00,388.3860865474869,388.0300014177744,387.7292399821196,0.3083633870086971,388.9626935301544,386.4957864340848,388.5,0.1235521235521282,0.0167556358185859,True,False,False,False,True,False,0.0,4.31
388.59,388.6,388.09,388.42,176665.0,388.3269,2023-01-10 14:41:00+00:00,1951,2023-01-10,14:41:00,388.58366670236785,388.50333940884343,388.2137984844609,0.3430049190964061,389.5858181608465,386.8417788080753,388.58,-0.0411755623037645,0.0131671316970948,True,False,False,False,False,True,0.0,4.53
391.66,391.7,391.66,391.7,334.0,391.6767,2023-01-11 11:42:00+00:00,6,2023-01-11,11:42:00,391.5239285861838,391.4286881732811,391.3605228528908,0.0842270746697286,391.6974311515698,391.0236145542119,391.58,0.0306450789110793,0.0053666329033316,True,False,False,False,True,False,0.0,4.57
391.46,391.46,391.46,391.46,324.0,391.4607,2023-01-11 11:56:00+00:00,4,2023-01-11,11:56:00,391.53549057346027,391.54561415716506,391.5017581504087,0.080228203977896,391.8226709663203,391.1808453344971,391.61,-0.0383034141109864,0.0034526652946637,False,False,False,False,False,True,0.0,4.43
390.91,390.91,390.86,390.9,4572.0,390.8877,2023-01-11 12:19:00+00:00,23,2023-01-11,12:19:00,391.0224311592715,391.12688335802375,391.2391215568322,0.0764605866893091,391.5449639035894,390.93327921007494,390.98,-0.0204614046754414,-0.0061346308628269,False,True,True,False,False,False,6.44,0.0
391.08,391.1,391.08,391.1,4659.0,391.0923,2023-01-11 12:31:00+00:00,36,2023-01-11,12:31:00,391.06725126033297,391.0523527435074,391.0947701800633,0.0704746014136727,391.376668585718,390.81287177440856,391.06,0.0102286094205545,-0.0037043768140218,False,False,False,True,False,False,6.118,0.0
